Material Code,Material Description,Plant,UOM,Line Number,Component Item Number,Material Description2,Material type,Component Quantity,Unit of Measure
50081405,N-OPEN RSP-30mcl NAT(L)-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,0.396,GM
50081405,N-OPEN RSP-30mcl NAT(L)-NS,        BAIN,PC,2,50081711,"12""X 16""  NATURAL 81.25mu",Polybag,0.001,PC
50081405,N-OPEN RSP-30mcl NAT(L)-NS,        BAIN,PC,3,50081575,CB:392X285X285 MM HF PP,Carton box,0.000083,PC
50081406,N-OPEN RSP-30mcl NAT(L)-GS,        BAIN,PC,1,50081405,N-OPEN RSP-30mcl NAT(L)-NS,SFG,1,PC
50081407,N-OPEN RSP-30mcl NAT(L)-ET,        BAIN,PC,1,50081405,N-OPEN RSP-30mcl NAT(L)-NS,SFG,1,PC
50081408,N-OPEN RSP NAT.(1810E) (L)-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,0.481,GM
50081408,N-OPEN RSP NAT.(1810E) (L)-NS,        BAIN,PC,2,50081711,"12""X 16""  NATURAL 81.25mu",Polybag,0.001,PC
50081408,N-OPEN RSP NAT.(1810E) (L)-NS,        BAIN,PC,3,50081575,CB:392X285X285 MM HF PP,Carton box,0.000083,PC
50081409,N-OPEN RG NATURAL 64C (L-F)-NS,        BAIN,PC,1,50082198,LDPE: RELENE 22FA002,Raw material,0.597,GM
50081409,N-OPEN RG NATURAL 64C (L-F)-NS,        BAIN,PC,2,50081657,"12""X16"" GUSS. PINK 81.25mu",Polybag,0.0005,PC
50081409,N-OPEN RG NATURAL 64C (L-F)-NS,        BAIN,PC,3,50081574,CB:580X332X420 MM FF PP,Carton box,0.00005,PC
50081410,N-OPEN RG NATURAL 64C (L-F)-GS,        BAIN,PC,1,50081409,N-OPEN RG NATURAL 64C (L-F)-NS,SFG,1,PC
50081411,N-OPEN RG NATURAL 64C (L-F)-ET,        BAIN,PC,1,50081409,N-OPEN RG NATURAL 64C (L-F)-NS,SFG,1,PC
50081412,N-OPEN RG NATURAL 32C(L-F) -NS,        BAIN,PC,1,50082198,LDPE: RELENE 22FA002,Raw material,0.566,GM
50081412,N-OPEN RG NATURAL 32C(L-F) -NS,        BAIN,PC,2,50081657,"12""X16"" GUSS. PINK 81.25mu",Polybag,0.0005,PC
50081412,N-OPEN RG NATURAL 32C(L-F) -NS,        BAIN,PC,3,50108242,CB:585X337X300MM HF 13BS 5P PP,Carton box,0.00005,PC
50081413,N-OPEN RG NATURAL 32C(L-F) -GS,        BAIN,PC,1,50081412,N-OPEN RG NATURAL 32C(L-F) -NS,SFG,1,PC
50081414,N-OPEN RG NATURAL 32C(L-F) -ET,        BAIN,PC,1,50081412,N-OPEN RG NATURAL 32C(L-F) -NS,SFG,1,PC
50081415,"N-OPEN ""O"" NAT. (1005FY20)-NS",        BAIN,PC,1,50082192,LDPE: RELENE 1005FY20,Raw material,0.45,GM
50081415,"N-OPEN ""O"" NAT. (1005FY20)-NS",        BAIN,PC,2,50081657,"12""X16"" GUSS. PINK 81.25mu",Polybag,0.0004,PC
50081415,"N-OPEN ""O"" NAT. (1005FY20)-NS",        BAIN,PC,3,50081574,CB:580X332X420 MM FF PP,Carton box,0.00004,PC
50081416,N-OPEN NBSR DT ASSY WHITE-NS,        BAIN,PC,1,50082098,N-OPEN NBSR WHITE (L),SFG,1,PC
50081416,N-OPEN NBSR DT ASSY WHITE-NS,        BAIN,PC,2,50081421,LDPE NAT. OD 3.05 X ID 0.70MM,Raw material,0.0845,MT
50081416,N-OPEN NBSR DT ASSY WHITE-NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081416,N-OPEN NBSR DT ASSY WHITE-NS,        BAIN,PC,4,50108241,CB:585X337X425MM HF 13BS 5P PP,Carton box,0.0001,PC
50081417,N-OPEN NS DTUBE NAT. ASSY -NS,        BAIN,PC,1,50081954,N-NASAL SPRAY OPEN NATURAL (L),SFG,1,PC
50081417,N-OPEN NS DTUBE NAT. ASSY -NS,        BAIN,PC,2,50081421,LDPE NAT. OD 3.05 X ID 0.70MM,Raw material,0.0909,MT
50081417,N-OPEN NS DTUBE NAT. ASSY -NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.0007,PC
50081417,N-OPEN NS DTUBE NAT. ASSY -NS,        BAIN,PC,4,50108243,CB:585X337X350MM HF 13BS 5P PP,Carton box,0.0001,PC
50081418,"N-OPEN ""I"" NAT. (1005FY20)-NS",        BAIN,PC,1,50082192,LDPE: RELENE 1005FY20,Raw material,0.46,GM
50081418,"N-OPEN ""I"" NAT. (1005FY20)-NS",        BAIN,PC,2,50081657,"12""X16"" GUSS. PINK 81.25mu",Polybag,0.0004,PC
50081418,"N-OPEN ""I"" NAT. (1005FY20)-NS",        BAIN,PC,3,50081574,CB:580X332X420 MM FF PP,Carton box,0.00004,PC
50081419,N-NBSR ASSY WHITE(1005FY20)-NS,        BAIN,PC,1,50081596,N-OPEN NBSR WHITE(1005FY20),SFG,1,PC
50081419,N-NBSR ASSY WHITE(1005FY20)-NS,        BAIN,PC,2,50081421,LDPE NAT. OD 3.05 X ID 0.70MM,Raw material,0.0909,MT
50081419,N-NBSR ASSY WHITE(1005FY20)-NS,        BAIN,PC,3,50081708,"22""X25"" GUSS. NAT 81.25mu",Polybag,0.0007,PC
50081419,N-NBSR ASSY WHITE(1005FY20)-NS,        BAIN,PC,4,50081574,CB:580X332X420 MM FF PP,Carton box,0.0001,PC
50081422,C-TAMP SAFE RSP O.GREEN (H)-NS,        BAIN,PC,1,50082202,HDPE: PURELL GC7260,Raw material,2.162,GM
50081422,C-TAMP SAFE RSP O.GREEN (H)-NS,        BAIN,PC,2,50082152,MB:REMAFIN GREEN 91151,Master batch,0.138,GM
50081422,C-TAMP SAFE RSP O.GREEN (H)-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.003,PC
50081422,C-TAMP SAFE RSP O.GREEN (H)-NS,        BAIN,PC,4,50081575,CB:392X285X285 MM HF PP,Carton box,0.0005,PC
50081423,C-TAMP SAFE RSP O.GREEN (H)-GS,        BAIN,PC,1,50081422,C-TAMP SAFE RSP O.GREEN (H)-NS,SFG,1,PC
