id,product_type,name,code,description,unit_type,unit_weight,unit_weight_type,status,category
1,Resin,,50081409,N-OPEN RG NATURAL 64C (L-F)-NS,Pcs,0.64,Grams,Active,FG
2,Resin,,50081409,N-OPEN RG NATURAL 64C (L-F)-NS,Pcs,0.64,Grams,Active,FG
3,Resin,,50081422,C-TAMP SAFE RSP O.GREEN (H)-NS,Pcs,2.26,Grams,Active,FG
4,Resin,,50081426,"C-TAMP SAFE""I"" TANBRN223270-NS",Pcs,2.2,Grams,Active,FG
5,Resin,,50081468,B-10ML RG WHITE NEW (L-F)-NS,Pcs,3.65,Grams,Active,FG
6,Resin,,50081474,B-10ML EX. RG WHITE (L-F)-NS,Pcs,3.7,Grams,Active,FG
7,Resin,,50081474,B-10ML EX. RG WHITE (L-F)-NS,Pcs,3.7,Grams,Active,FG
8,Resin,,50081474,B-10ML EX. RG WHITE (L-F)-NS,Pcs,3.7,Grams,Active,FG
9,Resin,,50081489,N-BLOCK RG NATURAL (L-F)-NS,Pcs,0.62,Grams,Active,FG
10,Resin,,50081489,N-BLOCK RG NATURAL (L-F)-NS,Pcs,0.62,Grams,Active,FG
11,Resin,,50081492,C-TAMPSAFE SS(R)U.YELLOW(H)-NS,Pcs,1.6,Grams,Active,FG
12,Resin,,50081500,C-TAMPSAFE RSP TURQ.(H)-NS,Pcs,2.26,Grams,Active,FG
13,Resin,,50081506,C-TAMPSAFE RSP TANBR (H)-NS,Pcs,2.26,Grams,Active,FG
14,Resin,,50081549,"N-OPEN ""I""NEW THT NAT. (L)-NS",Pcs,0.54,Grams,Active,FG
15,Resin,,50081556,C-TAMPSAFE SS(R)P.GREEN (H)-NS,Pcs,1.6,Grams,Active,FG
16,Resin,,50081563,C-TAMPSAFE RSP BLUE (H)-NS,Pcs,2.26,Grams,Active,FG
17,Resin,,50081580,B-15ML RG WHITE (L-F)-NS,Pcs,4.46,Grams,Active,FG
18,Resin,,50081580,B-15ML RG WHITE (L-F)-NS,Pcs,4.44,Grams,Active,FG
19,Resin,,50081583,B-10ML VIAL GLENMARK (PP)-NS,Pcs,5.7,Grams,Active,FG
20,Resin,,50081601,C-TAMPSAFE SS(R)U.BLUE(H)-NS,Pcs,1.6,Grams,Active,FG
21,Resin,,50081619,C-DOUBLESAFE NX U.BLUE (H)-NS,Pcs,1.73,Grams,Active,FG
22,Resin,,50081628,B-5ML VIAL GLENMARK (PP)-NS,Pcs,4.2,Grams,Active,FG
23,Resin,,50081632,B-5ML RSP NATURAL NEW (L)-NS,Pcs,2.95,Grams,Active,FG
24,Resin,,50081635,B-5ML RG WHITE (L-1840H)-NS,Pcs,2.87,Grams,Active,FG
25,Resin,,50081641,B-10ML RG WHITE (L-F)-NS,Pcs,3.7,Grams,Active,FG
26,Resin,,50081641,B-10ML RG WHITE (L-F)-NS,Pcs,3.7,Grams,Active,FG
27,Resin,,50081651,33MMPIC OUTERCAPS BLUE466276,Pcs,3.7,Grams,Active,FG
28,Resin,,50081658,N-OPEN RSP O.GREEN (L)-NS,Pcs,0.48,Grams,Active,FG
29,Resin,,50081669,C-TAMPSAFE RSP WHITE(H)NEW-NS,Pcs,2.26,Grams,Active,FG
30,Resin,,50081675,C-TAMPSAFE RSP PURPLE (H)-NS,Pcs,2.26,Grams,Active,FG
31,Resin,,50081678,"C-TAMPSAFE ""O"" O.GREEN (H)-NS",Pcs,2.26,Grams,Active,FG
32,Resin,,50081680,C-TAMPSAFE NS WHITE (H)-NS,Pcs,1.905,Grams,Active,FG
33,Resin,,50081695,B-30ML RG NBSR WHITE NEW(L)-NS,Pcs,7,Grams,Active,FG
34,Resin,,50081695,B-30ML RG NBSR WHITE NEW(L)-NS,Pcs,7,Grams,Active,FG
35,Resin,,50081696,B-10ML RSP O. GREEN (L)-NS,Pcs,3.6,Grams,Active,FG
36,Resin,,50081719,N-BLOCK RG WHITE (L-F)-NS,Pcs,0.62,Grams,Active,FG
37,Resin,,50081722,C-TAMPSAFE RSP WHITE (H)-NS,Pcs,2.26,Grams,Active,FG
38,Resin,,50081730,B-5ML RSP WHITE(L) NEW-NS,Pcs,2.95,Grams,Active,FG
39,Resin,,50081730,B-5ML RSP WHITE(L) NEW-NS,Pcs,2.95,Grams,Active,FG
40,Resin,,50081733,B-5ML RSP NATURAL (S)(L)-NS,Pcs,2.95,Grams,Active,FG
